name,symbol
Siemens,SIEMENS
Solar Industries,SOLARINDS
Sona BLW Precision Forgings,SONACOMS
SRF,SRF
Supreme Industries,SUPREMEIND
Suzlon Energy,SUZLON
Swiggy,SWIGGY
Syngene International,SYNGENE
Tata Consumer Products,TATACONSUM
Tata Elxsi,TATAELXSI
Tata Power,TATAPOWER
Tata Technologies,TATATECH
Tech Mahindra,TECHM
Tube Investment,TIINDIA
Tata Motors Passenger Vehicles,TMPV
Torrent Pharmaceuticals,TORNTPHARM
Torrent Power,TORNTPOWER
Trent,TRENT
TVS Motors,TVSMOTOR
Union Bank of India,UNIONBANK
United Spirits,UNITDSPR
UNO Minda,UNOMINDA
UPL,UPL
Voltas,VOLTAS
Waaree Energies,WAAREEENER
Yes Bank,YESBANK
Zydus Life Science,ZYDUSLIFE
